Time [s],"Temperature [C] (NO TEMPERATURE BOUNDARY, ONLY RADIATION)"
576,89.221
1152,94.356
1728,97.901
2304,100.78
2880,103.29
3456,105.55
4032,107.64
4608,109.59
5184,111.45
5760,113.21
6336,114.9
6912,116.53
7488,118.1
8064,119.61
8640,121.07
9216,122.48
9792,123.84
10368,125.16
10944,126.44
11520,127.67
12096,128.86
12672,130.02
13248,131.14
13824,132.22
14400,133.27
14900,80.51
15400,76.715
15900,74.461
16400,72.879
16900,71.656
17400,70.569
17900,69.578
18400,68.658
18900,67.794
19400,66.975
19900,66.193
20400,65.444
20900,64.722
21400,64.025
21900,63.352
22400,62.7
22868,121.1
23336,125.7
23804,128.65
24272,130.93
24740,132.83
25208,134.5
25676,136
26144,137.37
26612,138.66
27080,139.87
27548,141.02
28016,142.11
28484,143.17
28952,144.18
29420,145.17
30132,84.639
30844,80.19
31556,77.647
32268,75.839
32980,74.284
33692,72.891
34404,71.612
35116,70.421
35828,69.3
36540,68.238
37252,67.226
37964,66.261
38676,65.337
39388,64.451
40100,63.601
40812,62.784
41524,61.999
42236,61.244
42948,60.518
43660,59.82
44372,59.147
45084,58.498
45796,57.873
46508,57.269
47220,56.687
47932,56.124
48644,55.584
49356,55.057
50068,54.549
50780,54.058
51492,53.584
52204,53.125
52916,52.68
53628,52.25
54340,51.833
55052,51.428
55764,51.037
56476,50.657
57188,50.288
57900,49.93
58612,49.584
59324,49.247
60036,48.921
60748,48.605
61460,48.298
62172,47.999
62884,47.711
63596,47.433
64308,47.163
65020,46.901
