Time [s],"Temperature [C] (NO TEMPERATURE BOUNDARY, ONLY RADIATION)"
576,74.172
1152,80.056
1728,83.981
2304,87.079
2880,89.719
3456,92.06
4032,94.191
4608,96.165
5184,98.012
5760,99.755
6336,101.41
6912,102.99
7488,104.49
8064,105.93
8640,107.31
9216,108.64
9792,109.91
10368,111.13
10944,112.3
11520,113.43
12096,114.52
12672,115.57
13248,116.58
13824,117.55
14400,118.49
14900,80.896
15400,76.332
15900,73.662
16400,71.853
16900,70.41
17400,69.146
17900,68.01
18400,66.969
18900,66.004
19400,65.101
19900,64.249
20400,63.441
20900,62.671
21400,61.937
21900,61.233
22400,60.558
22868,101.58
23336,107.04
23804,110.45
24272,113.01
24740,115.11
25208,116.91
25676,118.5
26144,119.94
26612,121.27
27080,122.5
27548,123.67
28016,124.77
28484,125.81
28952,126.81
29420,127.77
30132,84.08
30844,78.834
31556,75.947
32268,73.89
32980,72.158
33692,70.636
34404,69.263
35116,68.005
35828,66.838
36540,65.747
37252,64.721
37964,63.753
38676,62.835
39388,61.964
40100,61.136
40812,60.347
41524,59.593
42236,58.873
42948,58.185
43660,57.525
44372,56.893
45084,56.286
45796,55.704
46508,55.144
47220,54.605
47932,54.087
48644,53.592
49356,53.108
50068,52.644
50780,52.197
51492,51.765
52204,51.348
52916,50.945
53628,50.555
54340,50.177
55052,49.812
55764,49.457
56476,49.114
57188,48.78
57900,48.458
58612,48.146
59324,47.846
60036,47.558
60748,47.278
61460,47.005
62172,46.74
62884,46.484
63596,46.237
64308,45.997
65020,45.764
