Time [s],"Temperature [C] (NO TEMPERATURE BOUNDARY, ONLY RADIATION)"
480,73.763
960,79.724
1440,83.771
1920,86.991
2400,89.746
2880,92.195
3360,94.424
3840,96.491
4320,98.428
4800,100.26
5280,102
5760,103.66
6240,105.26
6720,106.79
7200,108.26
7680,109.68
8160,111.05
8640,112.38
9120,113.67
9600,114.91
10080,116.11
10560,117.28
11040,118.41
11520,119.5
12000,120.57
12480,121.6
12960,122.6
13440,123.57
13920,124.52
14400,125.43
14900,87.352
15400,82.452
15900,79.518
16400,77.403
16900,75.856
17400,74.516
17900,73.313
18400,72.215
18900,71.201
19400,70.253
19900,69.363
20400,68.521
20900,67.722
21400,66.961
21900,66.234
22400,65.539
22868,107.49
23336,113.31
23804,117.04
24272,119.88
24740,122.23
25208,124.26
25676,126.07
26144,127.72
26612,129.23
27080,130.65
27548,131.98
28016,133.25
28484,134.45
28952,135.61
29420,136.71
30132,92.341
30844,86.66
31556,83.34
32268,81.139
32980,79.303
33692,77.696
34404,76.253
35116,74.935
35828,73.717
36540,72.583
37252,71.52
37964,70.52
38676,69.576
39388,68.681
40100,67.832
40812,67.026
41524,66.257
42236,65.523
42948,64.822
43660,64.152
44372,63.509
45084,62.893
45796,62.301
46508,61.732
47220,61.185
47932,60.658
48644,60.15
49356,59.66
50068,59.186
50780,58.729
51492,58.286
52204,57.862
52916,57.445
53628,57.043
54340,56.653
55052,56.275
55764,55.907
56476,55.55
57188,55.203
57900,54.866
58612,54.537
59324,54.217
60036,53.906
60748,53.602
61460,53.306
62172,53.017
62884,52.735
63596,52.459
64308,52.19
65020,51.927
