Time [s],"Temperature [C] (NO TEMPERATURE BOUNDARY, ONLY RADIATION)"
480,88.598
960,93.563
1440,97.01
1920,99.82
2400,102.27
2880,104.48
3360,106.53
3840,108.44
4320,110.26
4800,112
5280,113.66
5760,115.27
6240,116.83
6720,118.34
7200,119.8
7680,121.23
8160,122.61
8640,123.96
9120,125.27
9600,126.55
10080,127.8
10560,129.01
11040,130.19
11520,131.34
12000,132.46
12480,133.56
12960,134.62
13440,135.66
13920,136.67
14400,137.66
14900,84.792
15400,80.886
15900,78.554
16400,76.902
16900,75.641
17400,74.526
17900,73.529
18400,72.606
18900,71.741
19400,70.922
19900,70.141
20400,69.395
20900,68.677
21400,67.985
21900,67.318
22400,66.672
22868,125.53
23336,130.29
23804,133.4
24272,135.83
24740,137.88
25208,139.68
25676,141.31
26144,142.82
26612,144.23
27080,145.56
27548,146.83
28016,148.04
28484,149.21
28952,150.34
29420,151.43
30132,90.698
30844,86.102
31556,83.394
32268,81.562
32980,79.987
33692,78.579
34404,77.291
35116,76.094
35828,74.969
36540,73.906
37252,72.894
37964,71.93
38676,71.009
39388,70.126
40100,69.281
40812,68.469
41524,67.689
42236,66.939
42948,66.217
43660,65.522
44372,64.853
45084,64.207
45796,63.584
46508,62.982
47220,62.401
47932,61.84
48644,61.297
49356,60.772
50068,60.263
50780,59.771
51492,59.295
52204,58.836
52916,58.386
53628,57.951
54340,57.529
55052,57.119
55764,56.721
56476,56.334
57188,55.958
57900,55.592
58612,55.236
59324,54.89
60036,54.552
60748,54.224
61460,53.903
62172,53.591
62884,53.286
63596,52.988
64308,52.698
65020,52.415
